Assembly	canu_6hr	canu_9hr	canu_12hr	canu_all	canu_pass	miniasm_6hr	miniasm_9hr	miniasm_12hr	miniasm_all	miniasm_pass	miniasm_pass_nanopolish	PBcR_pass	SPAdes3.6_pass_and_Illumina	Illumina_only
Contigs #	75	16	17	9	15	88	18	17	16	16	16	21	13	87
Min contig	2632	3878	3960	6594	3955	5263	4884	4879	4611	4893	4687	5205	1053	759
Max contig	675208	2791286	2779987	2714767	2782732	286427	768302	1573329	1835694	1548218	1504104	1615977	5303011	686305
N50	149559 COUNT: 11	1457839 COUNT: 2	1460618 COUNT: 2	1470967 COUNT: 2	1462764 COUNT: 2	98442 COUNT: 17	519558 COUNT: 5	586887 COUNT: 3	1542074 COUNT: 2	1289590 COUNT: 2	641515 COUNT: 3	1197808 COUNT: 2	5303011 COUNT: 1	153115 COUNT: 10
Genome size	5590045	5590045	5590045	5590045	5590045	5590045	5590045	5590045	5590045	5590045	5590045	5590045	5590045	5590045
Assembly size	5379433	5525206	5538411	5567521	5542520	5525400	5770365	5795329	5872081	5843777	5673354	5490929	5576147	5453647
Chaff bases	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Missing reference bases	322789(5.77%)	85838(1.54%)	60348(1.08%)	21916(0.39%)	47940(0.86%)	5571447(99.67%)	5566418(99.58%)	5561016(99.48%)	5557886(99.42%)	5555425(99.38%)	246681(4.41%)	126280(2.26%)	165(0.00%)	20958(0.37%)
Missing assembly bases	119382(2.22%)	27994(0.51%)	10093(0.18%)	3529(0.06%)	2820(0.05%)	5507231(99.67%)	5747484(99.60%)	5770071(99.56%)	5845278(99.54%)	5817055(99.54%)	262394(4.63%)	66624(1.21%)	5520(0.10%)	7432(0.14%)
Missing assembly contigs	0(0.00%)	0(0.00%)	0(0.00%)	0(0.00%)	0(0.00%)	29(32.95%)	2(11.11%)	3(17.65%)	5(31.25%)	3(18.75%)	0(0.00%)	0(0.00%)	2(15.38%)	0(0.00%)
Duplicated reference bases	116033	76955	48641	72046	50315	0	0	0	0	0	86008	93451	2863	1025
Compressed reference bases	63488	31257	33484	53566	19133	586	930	3990	6631	9303	110428	78346	25390	129989
Bad trim	61367	1385	3429	279	483	2857689	1022656	840062	724628	702631	42313	31663	1545	0
Avg idy	98.07	98.68	98.80	98.92	98.92	96.46	96.38	96.37	96.46	96.36	98.41	98.35	99.99	99.99
SNPs	8151	3364	2656	1915	1950	174	214	210	225	225	20164	4748	254	142
Indels < 5bp	92483	68853	63307	57616	57224	476	624	717	735	760	64601	84174	263	197
Indels >= 5	1739	1175	890	697	663	91	149	165	167	175	1969	1777	5	31
Inversions	2	0	0	3	0	1	0	4	8	7	1	3	1	2
Relocation	10	9	4	9	8	2	6	12	8	10	23	12	11	19
Translocation	2	1	1	1	1	0	5	1	1	2	3	3	2	2
Corrected contig #	1514	1048	823	667	640	1	1	0	2	1	1454	1503	26	137
Corrected assembly size	5171157	5462316	5515352	5547559	5538224	613	582	0	1255	736	5167882	5345064	5595517	5454719
Min correct contig	501	505	504	504	503	613	582	2147483647	601	736	501	503	812	505
Max correct contig	26191	40963	48830	60723	82730	613	582	-2147483648	654	736	34047	42293	2125219	316649
Corrected N50	4799 COUNT: 324	8540 COUNT: 194	11330 COUNT: 155	14358 COUNT: 132	14730 COUNT: 115	0 COUNT: 0	0 COUNT: 0	422 COUNT: 1	0 COUNT: 0	0 COUNT: 0	5201 COUNT: 304	5243 COUNT: 321	1284313 COUNT: 2	90683 COUNT: 18
