Assembly	canu_6hr	canu_9hr	canu_12hr	canu_all	canu_pass	miniasm_6hr	miniasm_9hr	miniasm_12hr	miniasm_all	miniasm_pass	miniasm_pass_nanopolish	PBcR_pass	SPAdes3.6_pass_and_Illumina	Illumina_only
# contigs (>= 0 bp)	75	16	17	9	15	88	18	17	16	16	16	21	13	90
# contigs (>= 1000 bp)	75	16	17	9	15	88	18	17	16	16	16	21	13	83
# contigs (>= 5000 bp)	71	14	15	9	13	88	17	16	14	15	15	21	4	63
# contigs (>= 10000 bp)	59	12	11	7	11	84	16	15	12	14	13	15	3	52
# contigs (>= 25000 bp)	43	8	7	6	7	57	14	12	9	11	11	11	3	43
# contigs (>= 50000 bp)	30	7	6	6	7	36	13	12	9	10	10	11	3	35
Total length (>= 0 bp)	5379433	5525206	5538411	5567521	5542520	5525400	5770365	5795329	5872081	5843777	5673354	5490929	5576147	5454767
Total length (>= 1000 bp)	5379433	5525206	5538411	5567521	5542520	5525400	5770365	5795329	5872081	5843777	5673354	5490929	5576147	5450142
Total length (>= 5000 bp)	5365383	5517199	5530314	5567521	5534416	5525400	5765481	5790450	5862577	5838884	5668667	5490929	5552253	5397674
Total length (>= 10000 bp)	5275286	5499726	5497751	5553231	5519816	5499076	5758694	5783663	5850507	5832188	5652255	5440718	5545574	5322905
Total length (>= 25000 bp)	5011507	5446178	5431803	5540180	5453465	5002119	5736118	5744002	5812019	5793702	5624647	5387165	5545574	5183775
Total length (>= 50000 bp)	4527726	5398428	5382437	5540180	5453465	4289992	5686774	5744002	5812019	5768109	5599544	5387165	5545574	4893423
# contigs	75	16	17	9	15	88	18	17	16	16	16	21	13	87
Largest contig	675208	2791286	2779987	2714767	2782732	286427	768302	1573329	1835694	1548218	1504104	1615977	5303011	686305
Total length	5379433	5525206	5538411	5567521	5542520	5525400	5770365	5795329	5872081	5843777	5673354	5490929	5576147	5453647
Reference length	5586413	5586413	5586413	5586413	5586413	5586413	5586413	5586413	5586413	5586413	5586413	5586413	5586413	5586413
GC (%)	54.18	54.34	54.36	54.34	54.39	52.94	52.96	52.93	52.99	52.99	54.18	54.30	54.37	54.40
Reference GC (%)	54.31	54.31	54.31	54.31	54.31	54.31	54.31	54.31	54.31	54.31	54.31	54.31	54.31	54.31
N50	149559	2791286	2779987	1470967	2782732	100863	519558	586887	1542074	661959	641515	1197808	5303011	153115
NG50	149559	1457839	1460618	1470967	1462764	98442	519558	586887	1542074	1289590	641515	1197808	5303011	153115
N75	83603	1457839	1460618	1470967	1462764	59570	440722	441017	658193	561033	544397	401155	5303011	79102
NG75	81954	1457839	1460618	484996	1462764	58986	440722	441017	658193	561033	544397	365932	5303011	72689
L50	11	1	1	2	1	16	5	3	2	3	3	2	1	10
LG50	11	2	2	2	2	17	5	3	2	2	3	2	1	10
L75	23	2	2	2	2	34	8	6	4	5	5	5	1	23
LG75	25	2	2	3	2	35	8	6	4	5	5	6	1	24
# misassemblies	4	4	4	5	2	0	0	0	0	0	3	5	5	6
# misassembled contigs	4	4	3	1	1	0	0	0	0	0	2	3	2	6
Misassembled contigs length	1003837	2834370	40371	2714767	20317	0	0	0	0	0	1513926	2026976	5305242	1260503
# local misassemblies	5	23	8	7	0	0	0	0	0	0	139	37	0	10
# unaligned contigs	4 + 0 part	0 + 0 part	0 + 0 part	0 + 0 part	0 + 0 part	85 + 3 part	14 + 4 part	13 + 4 part	14 + 2 part	12 + 4 part	0 + 2 part	1 + 4 part	3 + 0 part	0 + 0 part
Unaligned length	33268	0	0	0	0	5524774	5769556	5794574	5871897	5843019	10848	14614	5479	0
Genome fraction (%)	95.922	98.973	99.088	99.549	99.255	0.011	0.015	0.013	0.003	0.013	96.930	98.510	99.352	97.435
Duplication ratio	0.998	0.999	1.001	1.001	1.000	0.994	0.998	1.008	1.005	1.009	1.046	0.995	1.004	1.002
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	134.42
# mismatches per 100 kbp	180.87	64.12	49.17	31.09	35.35	1428.57	1356.35	801.07	1092.90	665.78	548.02	100.38	3.71	3.55
# indels per 100 kbp	1397.19	933.56	859.21	755.71	777.65	2222.22	1849.57	2136.18	546.45	1864.18	898.50	1216.68	3.60	2.04
Largest alignment	550317	2777588	2779984	1468923	2782728	305	305	305	114	305	1276039	1197735	2125655	372132
NA50	129306	2777588	2779984	1161166	2782728	-	-	-	-	-	629654	522609	1476211	152838
NGA50	124783	1456360	1460599	1161166	1462758	-	-	-	-	-	629654	522609	1476211	131571
NA75	82700	1456360	1460599	484996	1462758	-	-	-	-	-	536933	365932	1002852	72670
NGA75	76142	1456360	1460599	484996	1462758	-	-	-	-	-	536933	365932	1002852	65092
LA50	12	1	1	3	1	-	-	-	-	-	3	3	2	11
LGA50	13	2	2	3	2	-	-	-	-	-	3	3	2	12
LA75	25	2	2	4	2	-	-	-	-	-	5	7	3	25
LGA75	27	2	2	4	2	-	-	-	-	-	5	7	3	27
